"Year","Cumulative_VA"
2000,-77833.63841099
2001,-65838.65665635
2002,-136370.25734866
2003,-195600.0874634
2004,-281865.56285186
2005,-435468.4369797
2006,-618388.41378214
2007,-574419.11145403
2008,-691638.44351888
2009,-664109.35915104
2010,-866311.6981055
2011,-874054.11171004
2012,-1075461.93498187
2013,-1406521.94228095
2014,-1455243.45560547
2015,-1547869.9691638
2016,-1563672.13213487
2017,-1548469.41528219
2018,-1616181.05606267
2019,-1838306.47148824
2020,-1778631.17769108
2021,-1898306.21096198
2022,-2056187.04725196
2023,-2103196.79800876
2024,-1946650.93493098
