"CubeId";"devkua"
"PublishingDate";"2025-05-02 14:30"

"Date";"D1";"Value"
"2000";"EUR1";"1.55779"
"2000";"GBP1";"2.55561"
"2000";"USD1";"1.68865"
"2000";"CAD1";"1.13668"
"2000";"JPY100";"1.56758"
"2001";"EUR1";"1.51034"
"2001";"GBP1";"2.4275"
"2001";"USD1";"1.68665"
"2001";"CAD1";"1.08977"
"2001";"JPY100";"1.38917"
"2002";"EUR1";"1.46704"
"2002";"GBP1";"2.33293"
"2002";"USD1";"1.55563"
"2002";"CAD1";"0.99055"
"2002";"JPY100";"1.24229"
"2003";"EUR1";"1.52096"
"2003";"GBP1";"2.19736"
"2003";"USD1";"1.34534"
"2003";"CAD1";"0.96227"
"2003";"JPY100";"1.16197"
"2004";"EUR1";"1.54365"
"2004";"GBP1";"2.27465"
"2004";"USD1";"1.24187"
"2004";"CAD1";"0.95506"
"2004";"JPY100";"1.14833"
"2005";"EUR1";"1.54809"
"2005";"GBP1";"2.26344"
"2005";"USD1";"1.24577"
"2005";"CAD1";"1.02959"
"2005";"JPY100";"1.13092"
"2006";"EUR1";"1.57293"
"2006";"GBP1";"2.30685"
"2006";"USD1";"1.25298"
"2006";"CAD1";"1.10468"
"2006";"JPY100";"1.07731"
"2007";"EUR1";"1.64266"
"2007";"GBP1";"2.40112"
"2007";"USD1";"1.19989"
"2007";"CAD1";"1.121"
"2007";"JPY100";"1.01909"
"2008";"EUR1";"1.58666"
"2008";"GBP1";"1.99714"
"2008";"USD1";"1.083"
"2008";"CAD1";"1.01823"
"2008";"JPY100";"1.05177"
"2009";"EUR1";"1.51007"
"2009";"GBP1";"1.69559"
"2009";"USD1";"1.08517"
"2009";"CAD1";"0.95279"
"2009";"JPY100";"1.16103"
"2010";"EUR1";"1.38053"
"2010";"GBP1";"1.60853"
"2010";"USD1";"1.04157"
"2010";"CAD1";"1.01108"
"2010";"JPY100";"1.18817"
"2011";"EUR1";"1.23355"
"2011";"GBP1";"1.42121"
"2011";"USD1";"0.88726"
"2011";"CAD1";"0.89642"
"2011";"JPY100";"1.11314"
"2012";"EUR1";"1.20531"
"2012";"GBP1";"1.48615"
"2012";"USD1";"0.93792"
"2012";"CAD1";"0.93831"
"2012";"JPY100";"1.17638"
"2013";"EUR1";"1.23079"
"2013";"GBP1";"1.44981"
"2013";"USD1";"0.92697"
"2013";"CAD1";"0.9003"
"2013";"JPY100";"0.95144"
"2014";"EUR1";"1.21463"
"2014";"GBP1";"1.50682"
"2014";"USD1";"0.91531"
"2014";"CAD1";"0.82856"
"2014";"JPY100";"0.86528"
"2015";"EUR1";"1.06811"
"2015";"GBP1";"1.47063"
"2015";"USD1";"0.96256"
"2015";"CAD1";"0.75386"
"2015";"JPY100";"0.79512"
"2016";"EUR1";"1.09009"
"2016";"GBP1";"1.33485"
"2016";"USD1";"0.98504"
"2016";"CAD1";"0.74365"
"2016";"JPY100";"0.90755"
"2017";"EUR1";"1.11157"
"2017";"GBP1";"1.26807"
"2017";"USD1";"0.98461"
"2017";"CAD1";"0.75874"
"2017";"JPY100";"0.87777"
"2018";"EUR1";"1.15487"
"2018";"GBP1";"1.30553"
"2018";"USD1";"0.97804"
"2018";"CAD1";"0.75499"
"2018";"JPY100";"0.88578"
"2019";"EUR1";"1.11247"
"2019";"GBP1";"1.2683"
"2019";"USD1";"0.99366"
"2019";"CAD1";"0.74901"
"2019";"JPY100";"0.91189"
"2020";"EUR1";"1.07045"
"2020";"GBP1";"1.20388"
"2020";"USD1";"0.93808"
"2020";"CAD1";"0.70001"
"2020";"JPY100";"0.87894"
"2021";"EUR1";"1.08101"
"2021";"GBP1";"1.25747"
"2021";"USD1";"0.91431"
"2021";"CAD1";"0.72927"
"2021";"JPY100";"0.83258"
"2022";"EUR1";"1.00482"
"2022";"GBP1";"1.17911"
"2022";"USD1";"0.95497"
"2022";"CAD1";"0.73382"
"2022";"JPY100";"0.72949"
"2023";"EUR1";"0.97165"
"2023";"GBP1";"1.11706"
"2023";"USD1";"0.8988"
"2023";"CAD1";"0.66589"
"2023";"JPY100";"0.64097"
"2024";"EUR1";"0.95238"
"2024";"GBP1";"1.1251"
"2024";"USD1";"0.88014"
"2024";"CAD1";"0.64271"
"2024";"JPY100";"0.5815"
