"CubeId";"bopcurra"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"D1";"Value"
"2000";"L0";"E";"357337.67147183"
"2000";"L0";"A";"307845.69710462"
"2000";"L0";"S";"49492.47436702"
"2001";"L0";"E";"346870.51151724"
"2001";"L0";"A";"314787.68868891"
"2001";"L0";"S";"32083.22282851"
"2002";"L0";"E";"316141.21945208"
"2002";"L0";"A";"283669.73683633"
"2002";"L0";"S";"32471.98261575"
"2003";"L0";"E";"336645.03040608"
"2003";"L0";"A";"284195.12587632"
"2003";"L0";"S";"52450.20452957"
"2004";"L0";"E";"367199.07319245"
"2004";"L0";"A";"304382.48229532"
"2004";"L0";"S";"62816.49089723"
"2005";"L0";"E";"429238.73614882"
"2005";"L0";"A";"370367.89372464"
"2005";"L0";"S";"58871.34242284"
"2006";"L0";"E";"474582.44721096"
"2006";"L0";"A";"405493.05329122"
"2006";"L0";"S";"69089.89391954"
"2007";"L0";"E";"538934.67101281"
"2007";"L0";"A";"489546.88443038"
"2007";"L0";"S";"49387.98658253"
"2008";"L0";"E";"515298.96614454"
"2008";"L0";"A";"507733.74854066"
"2008";"L0";"S";"7564.91760487"
"2009";"L0";"E";"480679.66048233"
"2009";"L0";"A";"446639.46046558"
"2009";"L0";"S";"34039.80001606"
"2010";"L0";"E";"559010.38907801"
"2010";"L0";"A";"477981.26490188"
"2010";"L0";"S";"81028.62417614"
"2011";"L0";"E";"544175.52400424"
"2011";"L0";"A";"504564.50511075"
"2011";"L0";"S";"39610.91898559"
"2012";"L0";"E";"580345.15829648"
"2012";"L0";"A";"523194.7873488"
"2012";"L0";"S";"57150.37094768"
"2013";"L0";"E";"612444.58252444"
"2013";"L0";"A";"549346.52317608"
"2013";"L0";"S";"63098.05934836"
"2014";"L0";"E";"606180.09278669"
"2014";"L0";"A";"559992.37091961"
"2014";"L0";"S";"46187.72186708"
"2015";"L0";"E";"597066.48836196"
"2015";"L0";"A";"537796.23744134"
"2015";"L0";"S";"59270.25092062"
"2016";"L0";"E";"634610.62408056"
"2016";"L0";"A";"585302.08773664"
"2016";"L0";"S";"49308.53634392"
"2017";"L0";"E";"667362.09203559"
"2017";"L0";"A";"630971.29934284"
"2017";"L0";"S";"36390.79269275"
"2018";"L0";"E";"697049.40232931"
"2018";"L0";"A";"657312.16266364"
"2018";"L0";"S";"39737.23966567"
"2019";"L0";"E";"691663.45333574"
"2019";"L0";"A";"666511.80480402"
"2019";"L0";"S";"25151.64853172"
"2020";"L0";"E";"622604.57362658"
"2020";"L0";"A";"619175.27481256"
"2020";"L0";"S";"3429.29881402"
"2021";"L0";"E";"733909.06333601"
"2021";"L0";"A";"681431.54227503"
"2021";"L0";"S";"52477.52106097"
"2022";"L0";"E";"823502.91480405"
"2022";"L0";"A";"754502.41920327"
"2022";"L0";"S";"69000.49560078"
"2023";"L0";"E";"828996.12894136"
"2023";"L0";"A";"786797.37889438"
"2023";"L0";"S";"42198.75004698"
"2024";"L0";"E";"839657.74732435"
"2024";"L0";"A";"797873.51715907"
"2024";"L0";"S";"41784.23016529"
